Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
Dijual cepat Scorpio th. 2009.;scorpio;yamaha;hitam;2009;jawa timur;12.500.000,00;225;<15jt;;;;;;;;;;;;;;;;
Di jual motor Jupiter z kondisi apa adanya;jupiter;yamaha;hitam;2010;banten;5.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Mx king 150 cc tahun 2017;jupiter;yamaha;biru;2017;riau;14.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
NINJA 250 FI THN 2016 (Merah), JUAL BU (NEGO);ninja;kawasaki;merah;2016;jawa barat;35.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
Vespa Sprint 2016 3V;vespa;vespa;silver;2016;banten;34.000.000,00;150;30-45jt;;;;;;;;;;;;;;;;
scopy 2012;scoopy;honda;abu-abu;2012;jawa barat;11.000.000,00;110;<15jt;;;;;;;;;;;;;;;;
Di jual cepat vario 2007;vario;honda;pink;2007;jawa timur;6.000.000,00;110;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa PS Strada Tahun 1990;vespa;vespa;merah;1990;jawa barat;9.900.000,00;100;<15jt;;;;;;;;;;;;;;;;
Vixion 2015 plat G Tegal Kabupaten;vixion;yamaha;merah;2015;jawa tengah;12.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
Yamaha Scorpio Z 2011;scorpio;yamaha;merah;2011;jawa barat;13.000.000,00;225;<15jt;;;;;;;;;;;;;;;;
Jual Blade Repsol 2011;blade;honda;oranye;2011;jawa tengah;6.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
Dijual Motor Honda C70 Basic Astrea Star Thn 1992;astrea;honda;hijau;1990;jakarta;11.000.000,00;100;<15jt;;;;;;;;;;;;;;;;
Dijual Motor Honda C70 Basic C86 Thn 1983;astrea;honda;ungu;1980;jakarta;11.500.000,00;100;<15jt;;;;;;;;;;;;;;;;
Dijual Motor Honda C70 Basic Astrea Star Thn 1993;astrea;honda;hitam;1990;jakarta;12.000.000,00;100;<15jt;;;;;;;;;;;;;;;;
Harley Davidson Street Glide 2008;harley davidson street glide;harley davidson;hitam;2008;jakarta;395.000.000,00;1600;>60jt;;;;;;;;;;;;;;;;
MINERVA XROAD 150 TH2012 Km.10rb;minerva x-road 150s;minerva;hitam;2012;jawa timur;5.700.000,00;150;<15jt;;;;;;;;;;;;;;;;
Mio soul 2009 Hijau;mio soul;yamaha;hijau;2009;jakarta;2.800.000,00;115;<15jt;;;;;;;;;;;;;;;;
Motor Bekas Barokah;supra;honda;hitam;2010;jawa timur;7.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Di jual vixion tahun 2013;vixion;yamaha;biru;2013;sumatera barat;13.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
GTV 300cc special edition;vespa;vespa;abu-abu;2021;jakarta;156.200.000,00;300;>60jt;;;;;;;;;;;;;;;;
vespa sprint 2021;vespa;vespa;merah;2021;jakarta;49.000.000,00;150;45-60jt;;;;;;;;;;;;;;;;
Dijual cepat;tiger revo;honda;hitam;2009;kalimantan timur;9.500.000,00;200;<15jt;;;;;;;;;;;;;;;;
HONDA CB150R STREETFIRE 2016;cb150r;honda;hitam;2016;jawa timur;16.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
HONDA CBR 250;cbr;honda;hitam;2011;jawa timur;21.000.000,00;250;15-30jt;;;;;;;;;;;;;;;;
YAMAHA NMAX 2020;n-max;yamaha;biru;2020;jakarta;23.000.000,00;115;15-30jt;;;;;;;;;;;;;;;;
